211,400
304,913
560,666
4,335
302,123
633,25
776,533
811,827
540,82
419,692
720,664
629,305
322,73
877,122
505,624
271,753
419,912
717,833
163,649
404,816
190,901
904,574
927,599
166,926
337,826
688,625
68,593
652,410
279,737
245,687
630,58
580,167
453,846
867,555
720,235
238,427
486,968
84,827
619,259
871,94
984,174
658,668
418,700
325,450
323,702
383,866
352,978
641,835
757,60
212,587
478,486
219,40
450,789
866,52
835,169
32,49
376,321
347,246
977,840
784,391
432,93
816,376
631,388
919,442
780,207
170,303
695,19
184,110
281,150
731,988
39,872
770,842
107,781
646,957
548,392
275,195
36,914
457,624
349,527
715,543
640,213
953,584
996,54
555,116
266,908
172,626
24,317
681,150
886,458
956,847
362,405
230,171
88,509
612,355
419,56
635,749
651,177
728,158
877,570
576,267
419,649
273,336
152,456
622,449
706,94
663,236
843,97
146,448
948,499
414,141
389,298
852,963
568,841
125,28
244,386
590,944
189,427
911,484
83,863
363,388
697,561
757,341
204,860
757,415
163,883
544,500
932,150
325,691
104,302
902,68
742,379
688,619
416,708
191,567
334,171
999,920
511,996
513,688
287,782
342,53
597,205
313,806
913,559
788,39
163,104
36,926
334,841
279,206
521,710
408,316
716,365
314,718
399,760
131,293
725,617
908,294
751,382
244,530
903,153
633,812
181,528
871,923
305,908
585,104
636,82
14,475
456,453
960,729
669,768
724,652
442,897
619,124
278,43
727,725
29,357
643,494
454,68
970,33
899,198
849,611
474,322
104,36
140,189
140,536
206,817
154,982
845,216
71,140
565,907
649,781
837,304
903,297
593,112
537,176
713,712
979,661
558,617
310,463
720,733
412,156
627,133
22,423
874,622
381,893
363,343
363,785
624,573
218,23
399,742
908,454
366,862
325,69
24,889
923,821
586,932
739,619
636,918
652,588
76,307
283,821
189,242
387,775
704,47
430,104
465,18
917,191
765,810
897,626
422,81
925,120
924,694
445,65
203,973
637,542
881,181
697,816
524,274
650,315
916,118
75,763
85,906
462,655
198,819
221,547
263,671
62,927
333,178
533,724
257,507
328,983
624,300
136,583
158,323
452,839
400,401
175,89
135,384
792,24
365,71
249,242
160,905
790,401
965,285
995,760
36,724
660,726
767,650
31,904
503,116
308,849
870,660
125,497
105,751
283,452
942,68
236,450
565,81
327,709
165,187
350,702
453,176
816,981
750,602
809,332
689,683
449,441
893,331
160,552
979,698
260,979
584,654
386,78
883,41
77,29
873,664
414,425
119,775
908,21
536,956
608,324
640,434
315,206
209,743
168,218
251,919
555,169
649,612
220,716
577,669
815,402
10,357
851,616
324,500
494,665
323,605
120,614
493,147
711,359
597,238
536,94
18,481
212,918
465,875
142,119
310,600
879,895
737,803
509,67
694,98
163,51
382,24
505,666
368,188
496,44
748,916
31,600
349,987
710,156
874,7
261,365
653,346
48,748
273,225
