141,967
558,946
222,990
588,272
335,929
787,873
564,305
312,591
473,91
455,492
363,68
157,17
294,276
677,771
730,436
69,31
727,111
357,810
786,16
685,602
370,471
24,336
259,130
424,194
570,970
373,530
982,596
963,434
634,641
862,30
465,942
619,134
578,3
620,418
774,265
730,779
924,485
653,869
125,195
272,736
107,606
265,911
142,438
651,509
300,776
978,232
42,801
942,835
56,821
722,91
367,283
268,168
203,821
121,761
465,250
481,124
512,376
744,672
981,444
603,996
231,851
604,630
363,666
508,763
222,269
926,9
760,734
546,563
913,47
583,275
960,601
514,320
665,464
385,243
34,487
209,366
23,41
438,352
23,497
758,552
611,843
114,863
284,126
486,689
799,827
392,161
608,105
